# Issue #154 strict inventory of Quarkdown v2.5.1 content, media, presentation, and Markdown-extension surfaces.
# target_sha=107ec3a9482f10d6f90d7580f8409b46a719d18e
# audit_base=7144683346fd6e39c49ef0923733c856a6a55f42
# declared_total=83
# declared_owned=71
# declared_handoffs=12
# Columns: ownership	canonical/public surface	aliases	category/family	exact upstream syntax/signature	exact Quarkdown v2.5.1 provenance	observable contract	Markdown baseline relationship	Quarkdown-specific extension/semantic delta	parser/frontend representation	source provenance/span behavior	binder/value-conversion requirements	evaluator semantics	AST/semantic representation	backend-neutral IR representation or current absence	Typst/backend behavior	rendered-output fidelity	resource/project dependency	caption interaction	numbering interaction	reference/label interaction	layout/document-state interaction	malformed-input behavior	unsupported-input behavior	diagnostic behavior	current Scribium conformance/test evidence	current canonical #147 support status	existing issue/PR linkage	exact remaining gap	disposition
owned	markdown:blocks	none	Markdown baseline	CommonMark/GFM headings, paragraphs, blockquotes, lists, task items, thematic breaks	https://github.com/iamgio/quarkdown/tree/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/parser	Existing Markdown block structure is parsed and lowered.	Baseline Markdown; not a QD extension.	Existing Markdown AST/IR and output tests.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	Existing native/evaluator path; no new #154 code.	Existing semantic node or bounded Markdown semantic.	Existing backend-neutral IR.	Existing Typst lowering.	Existing component/Markdown tests and real Typst/PDF evidence.	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Existing Rushdown parser/IR tests and real Typst/PDF output tests for the bounded Markdown block contract.	SUPPORTED_END_TO_END	#56;#63	No #154-owned gap for the bounded CommonMark/GFM block contract; Quarkdown callable block semantics remain separate.	Audit evidence only; implementation frozen until #156
owned	markdown:inlines	none	Markdown baseline	CommonMark/GFM emphasis, strong, strike, code span, links, soft/hard breaks	https://github.com/iamgio/quarkdown/tree/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/parser	Existing Markdown inline structure is represented and lowered.	Baseline Markdown; not a QD extension.	Existing inline AST/IR and output tests.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	Existing native/evaluator path; no new #154 code.	Existing semantic node or bounded Markdown semantic.	Existing backend-neutral IR.	Existing Typst lowering.	Existing component/Markdown tests and real Typst/PDF evidence.	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Existing Rushdown parser/IR tests and real Typst/PDF output tests for the bounded Markdown inline contract.	SUPPORTED_END_TO_END	#56;#63	No #154-owned gap for the bounded CommonMark/GFM inline contract; callable content conversion remains in #149/#160.	Audit evidence only; implementation frozen until #156
owned	markdown:tables	none	Markdown baseline	GFM pipe tables with header/separator rows	https://github.com/iamgio/quarkdown/tree/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/parser	Existing Markdown tables are parsed and lowered.	GFM baseline; QD table functions are separate.	Existing Table AST/IR and output tests.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	Existing native/evaluator path; no new #154 code.	Existing semantic node or bounded Markdown semantic.	Existing backend-neutral IR.	Existing Typst lowering.	Existing component/Markdown tests and real Typst/PDF evidence.	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Existing Rushdown table/IR tests and real Typst/PDF output tests for the bounded GFM table contract.	SUPPORTED_END_TO_END	#56;#63;#183	No #154-owned gap for the bounded GFM table contract; Quarkdown table producers, captions, and computation remain assigned to #183.	Audit evidence only; implementation frozen until #156
owned	markdown:code-fences	none	Markdown baseline	Fenced and indented code blocks	https://github.com/iamgio/quarkdown/tree/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/parser	Markdown code blocks preserve code text and fence information.	Fence language is baseline; caption/options are QD deltas.	Existing CodeBlock AST/IR and output tests.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	Existing native/evaluator path; no new #154 code.	Existing semantic node or bounded Markdown semantic.	Existing backend-neutral IR.	Existing Typst lowering.	Existing component/Markdown tests and real Typst/PDF evidence.	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Existing Rushdown code-block/IR tests and real Typst/PDF output tests for the bounded Markdown fence contract.	SUPPORTED_END_TO_END	#56;#63;#185	No #154-owned gap for the bounded Markdown fence contract; Quarkdown .code presentation remains assigned to #185.	Audit evidence only; implementation frozen until #156
owned	markdown:links	none	Markdown baseline	Inline/reference links and autolinks	https://github.com/iamgio/quarkdown/tree/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/parser	Ordinary Markdown links are represented and lowered.	`.link` callable behavior is separate.	Existing link IR and output tests.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	Existing native/evaluator path; no new #154 code.	Existing semantic node or bounded Markdown semantic.	Existing backend-neutral IR.	Existing Typst lowering.	Existing component/Markdown tests and real Typst/PDF evidence.	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Existing Rushdown link/IR tests and real Typst/PDF output tests for the bounded Markdown link contract.	SUPPORTED_END_TO_END	#56;#63	No #154-owned gap for the bounded Markdown link contract; callable URL/resource policy remains separate.	Audit evidence only; implementation frozen until #156
owned	markdown:images	none	Markdown baseline	Inline/reference image syntax with alt text and destination	https://github.com/iamgio/quarkdown/tree/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/parser	Local Markdown images use the current logical project/resource boundary.	Parsing is baseline; QD sizing/media/figure behavior is not implied.	Existing image IR/resource validation; #59/#102 history.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	PARTIAL	#182;#155	Local bounded images work; complete resource, URL, QD sizing, and media behavior remain open.	Audit evidence only; implementation frozen until #156
owned	markdown:footnotes	none	Markdown baseline	CommonMark/GFM footnote references and definitions where accepted by target	https://github.com/iamgio/quarkdown/tree/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/parser	No current Scribium footnote semantic representation.	QD compact forms are a separate extension.	Pinned AST sweep and current AST/IR inspection.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#181;#156	No footnote definition/reference/index/numbering/output model exists; #181 owns the structural reference boundary.	Audit evidence only; implementation frozen until #156
owned	markdown:raw-html	none	Markdown baseline	Raw HTML blocks/inlines and comments	https://github.com/iamgio/quarkdown/tree/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/parser	Markdown mode has bounded raw-HTML policy; QD mode fails closed.	Raw HTML is an escape hatch, not automatically QD semantic support.	Raw HTML policy and ast_to_ir.rs tests.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	PARTIAL	#58;#181;#156	Bounded Markdown raw HTML is retained under the existing policy, but Quarkdown raw HTML and target output fidelity are not established.	Audit evidence only; implementation frozen until #156
owned	markdown:attributes	none	Markdown baseline	Inline/block metadata and attribute lists	https://github.com/iamgio/quarkdown/tree/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/parser	No general attribute map is exposed by current AST/IR.	Parser retention is not semantic support.	Current AST/IR inspection; #157 boundary.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	PARSED_ONLY	#157;#181;#156	Rushdown preserves the source form, but no lossless generic metadata/attribute map or owner-specific semantics exists.	Audit evidence only; implementation frozen until #156
owned	syntax:qd-image-size	none	Quarkdown extension	`!(WIDTHxHEIGHT)[ALT](URL)` plus width-only/auto forms	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/lexer/patterns	Pinned lexer/image sweep identifies QD size syntax.	Image syntax is Markdown-like; size semantics are QD.	No current QD image-size path.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#182	No size grammar, typed dimensions, resource lookup, or output fidelity.	Audit evidence only; implementation frozen until #156
