# Issue #155 canonical Quarkdown v2.5.1 filesystem/project/data/resource audit.
# target_sha=107ec3a9482f10d6f90d7580f8409b46a719d18e
# audit_base=1a1fc7b1a978baa23d5eb0bfbef83ec49af5253f
# declared_total=29
# declared_owned=21
# declared_handoffs=8
# Columns: ownership	canonical_surface	aliases	category	exact_upstream_declaration_or_syntax	upstream_provenance	accepted_arguments_and_return_behavior	reference_and_relative_semantics	nested_load_and_normalization	missing_inaccessible_and_upstream_diagnostics	boundary_traversal_behavior	remote_network_behavior	deterministic_external_inputs	current_arkst_path	resource_identity_and_roots	security_host_and_platform_semantics	current_evidence	status	supported_subset	remaining_gap	blocker_dependency	follow_up	disposition	wasm_implications
owned	builtin:.read	read	data text	read(context: Context, path: String, lines: Range = Range.INFINITE) -> StringValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Data.kt#L73-L98	Path and optional one-based inclusive Range; returns text or selected lines.	Upstream resolves a relative path from the current FileSystem working directory and permits absolute paths; it is a file reference, not a URL contract.	A nested include changes workingDirectory to the included file parent; line separators are normalized before range selection.	Upstream checks ProjectRead or GlobalRead and existence; malformed range and read failures surface as exceptions rather than stable E-codes.	Upstream permits absolute paths and parent traversal subject to permission-root checks; Arkst must remain project-bounded.	No remote fetch is specified for .read; a URL is not a network contract.	Upstream depends on host filesystem bytes and permissions; no date/time contract.	Parser call; binder converts path and lines; evaluator native read at crates/arkst-engine/src/evaluator.rs; VirtualProjectResourceProvider reads project source/assets; IrValue string; no backend read; CLI builds VirtualProject; Markdown only consumes returned text; no WASM binding.	Logical project root is VirtualProject path space; source root is the calling SourceId parent; entry and nested identities remain SourceId plus canonical VirtualPath; assets are fallback resources.	VirtualPath rejects absolute, Windows, and escaping references; engine has no cwd or host FS; CLI uses explicit root; no OS temp in evaluation; native/WASM provider behavior is not yet end-to-end equivalent.	crates/arkst-core/tests/quarkdown_resource_builtins.rs; crates/arkst-engine/tests/resource_contract.rs; crates/arkst-project/src/virtual_project.rs.	PARTIAL	Source-relative local UTF-8 text and bounded one-based ranges work through the in-memory provider, including nested source identity.	The source-relative local subset works, but absolute/global FileSystem semantics, full inaccessible-error taxonomy, and complete v2.5.1 library/project contract remain absent.	#62 is closed but its current contract is only the evidenced VirtualProject subset; #188 owns reconciliation.	#188	Owned resource loader; implementation sequencing is defined in RECONCILIATION.md.	The engine/provider core is in-memory and compile-capable for WASM, but no WASM resource binding or end-to-end output harness exists.
owned	builtin:.json	json	data structured	json(context: Context, path: String) -> OutputValue<*>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Data.kt#L290-L328	Path string; parses JSON text into object/array/scalar output.	Upstream accepts a FileSystem path, relative to the current working directory, and has no URL argument.	Nested contexts inherit the included file's branched working directory; path normalization is host File based.	Missing, permission, invalid UTF-8, and malformed JSON fail through upstream exceptions.	Absolute and parent traversal are accepted or denied by upstream permission roots; Arkst's logical provider rejects escape.	No remote/network behavior is specified.	Depends on file bytes and parser/value numeric behavior; no date/time contract.	Parser call; binder rejects extra named args; evaluator native json; provider read_text; JSON maps to IrValue; no backend resource read; CLI VirtualProject; no Markdown loader; no WASM bindings.	Project root and source-parent logical paths; nested identity is the included SourceId; canonical resource identity is VirtualPath plus SourceId for source content.	Core never calls std::fs; absolute, Windows, and escape references fail closed; native CLI root is explicit; WASM provider parity lacks a binding harness.	crates/arkst-core/tests/quarkdown_resource_builtins.rs JSON object/array/precision cases; crates/arkst-engine/tests/resource_contract.rs; crates/arkst-engine/src/evaluator.rs.	PARTIAL	Source-relative local UTF-8 JSON object, array, scalar, and bounded numeric conversion work through VirtualProject.	The local source-relative subset works, but global/absolute lookup, exact upstream permission diagnostics, and full recursive value compatibility remain absent.	#62 current implementation covers only the tested bounded subset; #188 and existing #149 value conversion own follow-up edges.	#188;#149	Owned resource loader; table/content consumers remain separate.	In-memory engine code is WASM-capable, but no public WASM resource ingestion or end-to-end equivalence test exists.
owned	builtin:.include	include	include and nested source	include(context: MutableContext, path: String, sandbox: ContextSandbox = ContextSandbox.SHARE) -> OutputValue<*>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Ecosystem.kt#L93-L114	Path plus share/scope/subdocument sandbox; returns evaluated included output or library result.	Upstream accepts relative or absolute source paths and loadable library names; relative paths use current FileSystem workingDirectory.	Included source gets a branched parent directory; nested reads resolve from that source; path identity is canonicalized by the host FileSystem.	Missing, unreadable, invalid source, and evaluation failures are upstream exceptions; library lookup is separate from file lookup.	Upstream permission root controls project/global reads; absolute and parent paths are not intrinsically rejected. Project-boundary/traversal classification is explicit.	No network is specified for file include; named libraries may be host-provided loadables.	Depends on source bytes, library registration, and host path state; no date/time contract.	Parser call; binder handles sandbox; evaluator native include reads ResourceProvider::read_source, tracks active SourceIds, parses/evaluates nested source; VirtualProject supplies sources; IR retains nested output/provenance; Typst only sees lowered result; CLI loads sources; no WASM binding.	Entry SourceId is root identity; nested source gets its own SourceId and canonical VirtualPath; project root is VirtualProject logical root; assets are not includable sources.	Cycle detection is active-stack based; repeated includes are allowed; VirtualPath rejects escapes; no evaluator cwd/temp/FS; native backend staging is separate; WASM parity not exposed.	crates/arkst-core/tests/quarkdown_resource_builtins.rs nested/cyclic/repeated/sandbox cases; crates/arkst-engine/tests/resource_contract.rs; crates/arkst-engine/src/evaluator.rs.	PARTIAL	Source-relative local .qd/.scrib/.md includes, nested source identity, active-cycle diagnostics, repeated includes, and share/scope/subdocument evaluator behavior are evidenced.	The subset works, but absolute/global paths, loadable library resolution, exact extension/permission behavior, and complete subdocument graph identity remain absent.	#24 and #62 historical contracts do not prove current full parity; #188 owns the resource resolver.	#188	Owned nested loader; no backend redesign.	Core nested evaluation is in-memory and suitable for WASM, but no binding-level resource API or native/WASM parity proof exists.
owned	builtin:.includeall	includeall	include and nested source	includeall(context: MutableContext, paths: Iterable<Value<*>>) -> IterableValue<OutputValue<*>>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Ecosystem.kt#L125-L133	Body iterable of paths; maps each path through include with default share sandbox.	Each path delegates to include and therefore inherits its current working-directory-relative or absolute semantics.	Nested bases and normalization are per included path; order follows the input iterable.	Any missing, inaccessible, invalid, or evaluation failure aborts upstream mapping.	Inherits include permission and traversal behavior.	No direct remote behavior; inherited named-library possibility.	Depends on iterable order and each host resource; no date/time contract.	Parser call; no evaluator native dispatch; no VirtualProject batch API; no IR/backend/Markdown/WASM/CLI implementation.	Not applicable in current engine; a future implementation must preserve entry/nested SourceId identity for each include.	No host access may be added to core; future provider must preserve project boundary and deterministic input order.	Current native dispatch list at crates/arkst-engine/src/evaluator.rs; absence confirmed by resource builtin tests.	UNSUPPORTED	No current .includeall semantic subset is represented.	No native dispatch, iterable path conversion, per-item atomicity, or nested resource/provenance contract is represented.	Bounded common resolver and include semantics are required first.	#188	Owned missing builtin; no implementation in #155.	A future WASM implementation must reuse the same in-memory provider and preserve per-item diagnostics/order.
owned	builtin:.pathtoroot	pathtoroot	path identity	pathtoroot(context: Context, granularity: RootGranularity = RootGranularity.PROJECT) -> StringValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Data.kt#L101-L162	No path argument; PROJECT or SUBDOCUMENT granularity returns a relative path to the corresponding root.	Upstream derives the result from current FileSystem root and workingDirectory; source/subdocument-relative meaning differs from project-relative.	Nested subdocument context changes the subdocument root; normalization follows host File path operations.	No missing resource input; invalid context/root can fail during path computation.	Upstream can expose absolute-root relationships; Arkst must define logical roots and reject escape rather than expose host paths. Project-boundary/traversal classification is explicit.	No network behavior.	Depends on current document/subdocument identity and host path state, not date/time.	Parser call; no evaluator native; no provider root API exposed to language; no IR/backend/Markdown/WASM/CLI implementation.	Current project root and source identity exist internally, but no language-visible project/subdocument root projection.	No cwd or temp semantics in core; native CLI has explicit root; platform-independent logical path behavior requires a bounded API.	Current absence in evaluator dispatch and resource tests; VirtualPath/VirtualProject provide the underlying logical evidence.	UNSUPPORTED	No current .pathtoroot behavior is represented.	No granularity binding, root-relative result, nested subdocument root, or diagnostic contract is represented.	Requires the common logical resolver and nested identity contract.	#188	Owned missing builtin; do not expose native paths.	The future API must be deterministic and identical for native and WASM logical projects.
owned	builtin:.listfiles	listfiles	data directory	listfiles(context: Context, path: String, directories: Boolean = true, recursive: Boolean = false, pattern: String? = null, fullpath: Boolean = true, sortby: FileSorting = FileSorting.NONE, order: Ordering = Ordering.ASCENDING) -> IterableValue<StringValue>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Data.kt#L187-L251	Path plus directory/recursive/pattern/fullpath/sortby/order options; returns file-name strings.	Upstream resolves path from current working directory and can return absolute full paths; this is a directory API, not a single resource read. Source/project-relative classification is explicit.	Recursive walk uses directory traversal; sorting NONE is explicitly unordered and other modes use name or last-modified metadata.	Missing/non-directory/permission failures arise from host File operations; inaccessible behavior has no stable E-code.	Absolute and parent traversal are possible subject to upstream permission root; Arkst must not expose out-of-project listings.	No network behavior.	NONE and LAST_MODIFIED can inherit host ordering/time metadata; recursive directory state is external and nondeterministic.	Parser call; no evaluator builtin, directory provider, IR, backend, Markdown, WASM, or CLI language path.	No current directory resource identity or listing root in VirtualProject; source/project roots are logical but assets/sources are separate stores.	Core has no host cwd/FS; a future provider must normalize separators, reject escapes, and define deterministic ordering without OS temp.	No current dispatch; #189 acceptance will need isolated in-memory directory fixtures.	UNSUPPORTED	No current .listfiles semantic subset is represented.	No directory listing, recursive traversal, pattern, metadata sort, fullpath policy, or deterministic logical output is represented.	Requires a bounded project data API after common path rules.	#189	Owned missing builtin; no directory access added here.	No WASM directory API exists; future behavior must use an in-memory project listing with native parity.
owned	builtin:.filename	filename	path identity	filename(context: Context, path: String, extension: Boolean = true) -> StringValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Data.kt#L253-L273	Path plus extension flag; returns name or name without extension.	Upstream resolves a relative or absolute File path from current workingDirectory; result is host filename identity.	Normalization is host File based; no nested value load, but nested context changes the relative base.	Missing path may still return a name because upstream uses File.name; malformed path behavior is host dependent.	Absolute and parent paths can be identified upstream; Arkst must keep identity logical and bounded. Project-boundary/traversal classification is explicit.	No network behavior.	Depends on host path syntax and platform filename rules; no date/time contract.	Parser call; no evaluator builtin, resource API, IR, backend, Markdown, WASM, or CLI language path.	VirtualPath can provide a logical final component, but no public file-name projection exists.	Core rejects Windows/absolute syntax consistently; no cwd or temp; native/WASM equivalence is not established.	No current dispatch; VirtualPath unit tests cover canonical component behavior only.	UNSUPPORTED	No current .filename semantic subset is represented.	No extension flag binding or logical filename behavior is represented, including edge cases for hidden/multiple-extension names.	Requires the project data/file-identity API.	#189	Owned missing builtin; no host filename leakage.	A WASM implementation must derive names from VirtualPath, never native PathBuf.
owned	builtin:.csv	csv	data structured	csv(context: Context, path: String, mode: CsvParsingMode = CsvParsingMode.PLAIN, caption: InlineMarkdownContent? = null, ref: String? = null) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Data.kt#L330-L380	Path plus PLAIN or MARKDOWN mode, optional caption/ref; returns a table node.	Upstream reads a project/global FileSystem path relative to current workingDirectory; no URL argument.	Nested contexts branch the path base; parser reads the complete CSV and maps rows into table content.	Missing, inaccessible, malformed CSV, and row-shape failures are host/parser exceptions; no stable E-code contract.	Upstream permission root governs absolute/parent traversal; Arkst must enforce VirtualProject boundaries.	No network behavior.	CSV bytes and parser behavior are external; table output also depends on downstream rendering.	Parser call; no evaluator csv dispatch; no data parser; no IR table producer; #183 is table consumer; no Markdown/WASM/CLI language implementation.	No current CSV resource identity or typed table value; only source/assets byte stores exist.	No host FS in core; future loader must be deterministic and bounded before table output; no OS temp semantics.	Current stdlib handoff in STDLIB_BUILTINS_AUDIT_MANIFEST.tsv; #183 explicitly consumes CSV-produced table contracts after #155.	UNSUPPORTED	No current .csv resource or table behavior is represented.	No CSV decoding, mode/caption/ref binding, malformed-data diagnostics, or downstream table node is represented.	Resource loader belongs to #189; table producer/output remains #183.	#189;#183	Owned data-file loader; output ownership is coordinated, not duplicated.	The loader must accept in-memory bytes in native and WASM; no WASM file system.
owned	builtin:.bibliography	bibliography	data references	bibliography(context: Context, path: String, style: String = DEFAULT_CSL_STYLE, title: InlineMarkdownContent? = null, breakpage: Boolean = true, headingdepth: Int = 1, numberheading: Boolean = false, indexheading: Boolean = false) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Bibliography.kt#L64-L76	Path plus CSL style and heading/output options; loads BibTeX, CSL JSON/YAML, EndNote, or RIS into bibliography output.	Upstream path is FileSystem-relative or absolute under ProjectRead/GlobalRead; resource is a data file, not a URL.	Nested source context changes workingDirectory; parser/CSL loading reads one complete bibliography resource.	Missing, inaccessible, unsupported format, and malformed bibliography failures are upstream exceptions/format diagnostics.	Upstream global/project permission roots apply; Arkst must reject escape and preserve source provenance. Project-boundary/traversal classification is explicit.	Citation style may reference external CSL data through upstream configuration; no Arkst network fetch is allowed.	Depends on file bytes, style files/configuration, and downstream bibliography ordering; no date/time builtin dependency.	Parser call; no evaluator bibliography builtin; no provider format loader; no IR bibliography node; #181 owns citation/index consumers; no Markdown/WASM/CLI language implementation.	No bibliography resource identity or immutable citation index exists in current project/IR.	Core cannot access host files; future loader must use bounded bytes and deterministic parsing; native/WASM parity absent.	Current stdlib handoff and #181 structural reference ownership; no Arkst bibliography tests.	UNSUPPORTED	No current .bibliography resource or output behavior is represented.	No format dispatch, CSL/style loading, citation/index state, diagnostics, or output node is represented.	Resource loading belongs to #189; shared citation/index/output belongs to #181.	#189;#181	Owned data-file loader; reference/output ownership is coordinated.	WASM requires caller-supplied bibliography bytes and deterministic style resources.
owned	builtin:.subdocument	subdocument	nested document	subdocument(path: String, label: InlineMarkdownContent? = null, anchor: String? = null) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Ecosystem.kt#L149-L162	Path plus optional link label and anchor; creates a subdocument link and registers graph content when processed.	Upstream accepts a source-relative or absolute subdocument path; ordinary links recognize source extensions and use the current FileSystem.	Nested link registration resolves from the defining source's FileSystem and canonicalizes the target path; target document gets its own working directory.	Missing/unreadable target raises unresolved-subdocument errors; malformed target is a parser/evaluation failure.	Upstream can escape project roots if permission checks permit; Arkst must enforce logical project boundary and symlink-free identity.	No network subdocument contract.	Graph order and canonical path identity must be deterministic; target content is external project state.	Parser retains ordinary links; the `.subdocument` call is not a native evaluator builtin; no subdocument graph IR; Typst/Markdown output only sees ordinary links; CLI does not construct a graph; no WASM binding.	Entry and nested document identity are not represented beyond source IDs for include; no graph resource identity or parent edge model exists.	VirtualPath and engine cycle checks cover includes, not graph links; no cwd/temp in core; native/WASM parity absent.	crates/arkst-core/tests/quarkdown_resource_builtins.rs included-source tests; #154 subdocumentgraph row; current parser/IR link tests.	UNSUPPORTED	No current `.subdocument` evaluation or subdocument graph resource behavior is represented.	No native call, target loading/registration, anchor graph identity, missing-target diagnostic, or output/backend contract is represented.	Common nested resource identity is required before #154 graph/output reconciliation.	#188;#154;#181	Owned resolution contract; graph and structural output stay cross-owned.	WASM must model target source bytes and SourceId edges in memory before claiming parity.
